API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Jul  7 17:16:17 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2010 JK124)                    {source: JPL#5}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo-DECam
*******************************************************************************
Start time      : A.D. 2017-May-17 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Aug-16 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1936, -30.1695802, 2.21112  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1936,5520.74486,-3187.75111 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.260707.p261003                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JUL-07. PREDICTS-> 2026-OCT-02
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456328.5 ! 2013-Feb-05.00 (TDB)         Residual RMS= .22455        
   EC= .1189508712431341   QR= 35.49941133358018   TP= 2432224.7844727994      
   OM= 277.4746539373181   W=  220.6239671535473   IN= 15.54713838468939       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.695708757907139E+01  Y=-3.150275187413182E+01  Z=-2.021368167030291E+01
  VX= 2.170108204655172E-03 VY=-1.531100680333808E-03 VZ=-6.783458772001752E-05
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 5.35                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
************************************************************************************************************************
 Date__(UT)__HR:MN, , , R.A.___(ICRF), DEC____(ICRF),  RA_3sigma, DEC_3sigma,  SMAA_3sig, SMIA_3sig,   Theta, Area_3sig,
************************************************************************************************************************
$$SOE
 2017-May-17 00:00, , , 248.604956204, -29.320152614,      3.220,      0.627,      3.231,     0.565,   4.898, 5.7364929,
 2017-May-18 00:00, , , 248.582800271, -29.317217713,      3.215,      0.627,      3.227,     0.565,   4.926, 5.7278192,
 2017-May-19 00:00, , , 248.560533240, -29.314214242,      3.211,      0.628,      3.222,     0.565,   4.955, 5.7191227,
 2017-May-20 00:00, , , 248.538162997, -29.311142861,      3.206,      0.628,      3.218,     0.565,   4.984, 5.7104183,
 2017-May-21 00:00, , , 248.515697559, -29.308004256,      3.201,      0.629,      3.213,     0.565,   5.013, 5.7017216,
 2017-May-22 00:00, , , 248.493145101, -29.304799146,      3.197,      0.629,      3.209,     0.565,   5.043, 5.6930478,
 2017-May-23 00:00, , , 248.470513981, -29.301528294,      3.192,      0.630,      3.204,     0.565,   5.072, 5.6844126,
 2017-May-24 00:00, , , 248.447812759, -29.298192517,      3.188,      0.630,      3.200,     0.565,   5.102, 5.6758318,
 2017-May-25 00:00, , , 248.425050198, -29.294792703,      3.183,      0.631,      3.195,     0.565,   5.132, 5.6673211,
 2017-May-26 00:00, , , 248.402235228, -29.291329814,      3.178,      0.631,      3.191,     0.565,   5.162, 5.6588966,
 2017-May-27 00:00, , , 248.379376886, -29.287804892,      3.174,      0.632,      3.186,     0.564,   5.192, 5.6505743,
 2017-May-28 00:00, ,m, 248.356484223, -29.284219052,      3.169,      0.632,      3.182,     0.564,   5.222, 5.6423702,
 2017-May-29 00:00, ,m, 248.333566216, -29.280573461,      3.165,      0.633,      3.178,     0.564,   5.252, 5.6343000,
 2017-May-30 00:00, ,m, 248.310631698, -29.276869323,      3.160,      0.633,      3.173,     0.564,   5.282, 5.6263794,
 2017-May-31 00:00, ,m, 248.287689322, -29.273107859,      3.156,      0.634,      3.169,     0.564,   5.312, 5.6186237,
 2017-Jun-01 00:00, ,m, 248.264747548, -29.269290294,      3.151,      0.634,      3.165,     0.564,   5.342, 5.6110478,
 2017-Jun-02 00:00, ,m, 248.241814664, -29.265417849,      3.147,      0.635,      3.160,     0.564,   5.372, 5.6036662,
 2017-Jun-03 00:00, ,m, 248.218898804, -29.261491737,      3.143,      0.636,      3.156,     0.564,   5.402, 5.5964933,
 2017-Jun-04 00:00, ,m, 248.196007975, -29.257513164,      3.138,      0.636,      3.152,     0.564,   5.432, 5.5895428,
 2017-Jun-05 00:00, ,m, 248.173150077, -29.253483326,      3.134,      0.637,      3.148,     0.565,   5.462, 5.5828283,
 2017-Jun-06 00:00, ,m, 248.150332921, -29.249403416,      3.130,      0.637,      3.144,     0.565,   5.491, 5.5763629,
