source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,pmra,pmdec,ruwe,num_obs_g_fov,gls_freq_g_fov,gls_freq_ampl_g_fov,gls_freq_fap_g_fov,nhm_fund_freq_g_fov,spearman_corr_ipd_g_fov,spearman_corr_exf_g_fov,scan_angle_model_ampl_sig_g_fov,TeffH,MassH,loggH,Pwd
335495116856304256,39.60022784839916,41.38899213023118,1.007999893465269,9.954057,17.328701,-0.4601612,2.347684797322013,-8.078267200103415,1.0545182,26,2.869043266172,0.7478397,0.0213155035292466,2.86908531476142,-0.0974359,0.20869565,1.344592,,,,0.871226
376042082031620480,12.234420368324166,44.64189595906775,8.673824613585005,5.135525,20.823965,1.3710461,-5.536418763933091,-0.4923945911141525,1.0122653,12,11.132496043065,0.8523854,1.0,11.132462863077436,-0.08391608,0.4909091,0.14198783,,,,
376693164715468416,16.837856340396634,44.08137757855116,1.920953814414544,5.686241,19.299511,-0.05126953,5.961882397082335,-4.197976099947715,1.0108784,51,20.338381876578,0.3541896,1.0,20.33834158712309,0.26561087,-0.008994409,1.5516553,16999.87,0.457225,7.657302,0.995639
377431181828043136,14.051236672955692,45.33881500737133,14.463656353877624,110.748,18.190004,0.8930321,302.6869782323201,-59.994370728173585,1.0246398,40,13.410252693238,0.50636137,0.2449880073006035,13.410286789042152,0.06679174,-0.61538464,0.2629374,,,,
377520826387065856,13.018295130868545,45.09272174297808,13.283786048002208,301.3113,16.005373,-0.03944397,93.05316088221215,12.838134208323616,0.9800933,39,3.885160682073,0.45159805,1.0,3.885116692699482,0.25060728,0.6657258,1.708729,12858.7,0.610036,8.004019,0.979804
388376128593118208,9.89094879265928,45.71084387487046,3.5485694405288473,10.28573,19.344692,0.17446136,-34.958087262538534,-1.268018875346416,1.0715849,39,22.407639005115,0.4297171,1.0,22.40765030539005,0.042105265,0.23020528,1.8066189,10232.78,0.546438,7.904653,0.986681
388775908444056448,6.844707849620735,45.0259579377597,4.569963026287114,5.309702,19.933416,-0.041618347,-3.5895393545292698,-0.6597269311674174,1.3693246,58,16.306612928073,0.3396704,1.0,16.306650403700512,0.18354917,,2.2310188,,,,
388852565022968960,6.276602551806206,45.596567101270985,2.3930669690475694,6.3328614,19.22467,-0.10642624,-1.0142699078416075,-5.699539591866772,1.1693941,61,3.466248100372,0.25442138,1.0,3.466198032678851,0.2911687,-0.53571427,1.6334853,,,,
388872558093798656,7.269103644465548,45.41674313168283,5.547790010731611,21.426346,19.3466,0.43892097,8.735010623764973,7.353269727210545,1.0222051,66,8.072966048427,0.26615348,1.0,8.072976135125538,0.0728734,0.02466394,2.1129405,7618.59,0.549763,7.924808,0.987627
389593287966107136,11.471661255390767,45.5616072655391,3.7889877405542336,7.062464,20.064514,0.14220238,31.0111633465794,1.4266492566726674,0.9434726,30,11.056843772427,0.6386065,0.1479946506936136,11.05682550970303,0.2631813,-0.14737436,0.57375455,11238.19,0.994982,8.617353,0.992882
