Detailed Schedule,,,,
Monday 03 Aug 2026,,,,
10:15,,,Piotr Kowalski,Revising Chemical Equilibrium in Atmospheres of Cool White Dwarfs
10:30,,,Jackson White,A New Approach to Modeling Quasi-H2+ in DA White Dwarf Stars
10:45-11:30,coffee break (45 min),,,
11:30,S2.2,"S2.2
WD Magnetism

Chair: S. O. Kepler",Larissa Luciano Amorim,Investigating the Origin of Magnetic Fields in White Dwarfs through Rotational and Physical Correlations
11:45,,,Michael Stroet,Are seemingly constant magnetic white dwarfs rapidly rotating?
12:00,,,Aayush Desai,"Fast, Massive, Magnetic: Our ZTF Search for White Dwarf Merger Remnants"
12:15,,,Abbigail Elms,A unified view of Balmer emission line white dwarfs
12:30,,,Adam Moss,Insights into the Origin of Magnetism from the SDSS 100 pc Sample
12:45-13:45,lunch (1 hr),,,
13:45,S2.3,"S2.3
WD Magnetism

Chair: Jordi Isern",Maria Camisassa,"A Long-Lived, Deep-Seated Main-Sequence Magnetic Field Emerging in the White Dwarf Phase"
14:00,,,Lukas Einramhof,Magneto-archeology of white dwarfs
14:15,,,Matias Castro-Tapia,Is a Crystallization-driven Convection Dynamo Plausible for explaining Magnetic White Dwarfs?
14:30,,,Rafael Fuentes,"Stirring White Dwarfs via Compositional Convection, Crystallization-driven dynamos and Accretion-driven Convection"
14:45,,,Valentin Skoutnev,Magnetized Thermohaline Convection in Accreting and Crystallizing White Dwarfs
15:00,,,Ana Carolina Antonini Santa Rosa,Evolution and Formation of Ultramassive White Dwarf Stars
15:15-16:00,coffee break (45 min),,,
16:00,S2.4,"S2.4
Q branch + Massive WDs

Chair: Mukremin Kilic",Henry SanfordCrane,Demographic Dissection of the Gaia Q‑Branch Reveals the Crystallization Delay in Massive White Dwarfs
16:15,,,Lou Baya Ould Rouis,White Dwarf Merger Remnants with Cooling Delays on the Q Branch Lack Strong Magnetism
16:30,,,Nicholas Rui,Forging neon-distilling white dwarfs in the stellar engulfments of helium white dwarfs
16:45,,,Camila Damia Rincón,Evolutionary models for carbon-rich white dwarfs
17:00,,,Max Pritzkuleit,From helium white dwarf mergers to helium giants - The intermediate-mass stripped star impostors
17:15,bus departure,,,
,conference dinner,,,
Wednesday 05 Aug 2026,,,,
Time,Session,Topics,Author,Title
08:30,bus departure in Vienna,,,
09:15,coffee,,,
09:30,S3.1,"S3.1
WDs in PCEBs

Chair: Maja Vuckovic",Steffani Grondin,The First Population of White Dwarf+Main-Sequence Binaries in Star Clusters: A New Window into Common Envelope Evolution
09:45,,,Andrija Zupic,Variability analysis and SED modeling of WDMS binaries using multi-survey data
10:00,,,Amalie Yates,Long-term eclipse time variations in white dwarf binaries
10:15,,,David Wilson,Hidden white dwarfs in the nearest Post Common Envelope Binaries
10:30,,,Steven Parsons,White dwarfs in close binaries with substellar companions
10:45-11:30,coffee break (45 min),,,
11:30,S3.2,"S3.2
WD Population Synthesis

Chair: Monica Zorotovic",Katie Breivik,Simulating the population of white dwarf - main sequence binaries with COSMIC-METISSE
11:45,,,Cheyanne Shariat,A global view of post-interaction white dwarf-main sequence binaries
12:00,,,Alex Duran-Reyes,Stability Limits for Binary Mass Transfer in low- and intermediate-mass stars with MESA
12:15,,,Natsuko Yamaguchi,Population demographics of post-interaction WDMS binaries from Gaia
12:30,,,Alejandro Santos-García,A Self-Consistent Population Synthesis Study of White Dwarf–Brown Dwarf Binaries
12:45-13:45,lunch (1 hr),,,
13:45-14:30,poster session (45 min),,,
14:30,S3.3,"S3.3
Rare Accreting WDs

Chair: Matthew Green",William Weitian Yu,Constraining the Formation Channels of AM CVn Stars
14:45,,,Iris de Ruiter,A New Population of Coherent Radio Emitters: White Dwarf Binaries
15:00,,,Geoffrey Mo,Exotic white dwarfs in the core of 47 Tuc revealed by a HST UV time-domain survey
15:15,,,Andrei Cristea,"J2008, you still speak in riddles': a peculiar white dwarf merger remnant with a half-ring of circumstellar material"
15:30,bus to Vienna / Schwedenplatz,,,
,,,,
Thursday 06 Aug 2026,,,,
Time,Session,Topics,Author,Title
08:30,bus departure in Vienna,,,
09:15,coffee,,,
09:30,S4.1,"S4.1
CVs and Accreting WDs

Chair: Odette Toloza",Anna Francesca Pala,Accreting white dwarfs as probes of compact binary evolution
09:45,,,Santiago Hernández Díaz,Unveiling the period-bounce population of Cataclysmic Variables Spectroscopic and time-domain follow-up of eROSITA-selected candidates
10:00,,,Soumyadeep Bhattacharjee,Thermally Inflated Accretors: Insights from Young White Dwarf Binaries
10:15,,,Irin Babu Vathachira,WRLOF Accretion in WD–AGB Binaries
10:30,,,Param Rekhi,Barium Dwarfs in Disguise: s-process Enrichment in Gaia MS+WD Binaries
10:45-11:30,group photo + coffee break (45 min),,,
11:30,S4.2,"S4.2
WD Debris

Chair: Ayaka Okuya",Snehalata Sahu,Frequency and composition of planetary debris around young white dwarfs: Insights from HST/COS snapshot survey
11:45,,,Xabier Pérez Couto,Cluster Tides and Stellar Flybys as Triggers of White Dwarf Pollution in Open Clusters
12:00,,,Jamie Williams,A white dwarf accreting a second-generation planet
12:15,,,Rudy Morales,Infrared Excess and Metal Pollution in White Dwarfs from HETDEX
12:30,,,Tim Cunningham,JWST Time‑Domain View of Planetary Debris: Tracking Disk Variability and Accretion in G29‑38
12:45-13:45,lunch (1 hr),,,
13:45,S4.3,"S4.3
WD Transits and Direct Imaging

Chair: John Debes",Jan van Roestel,Disappearing white dwarfs; a systematic search for transiting and eclipsing white dwarfs with ZTF
14:00,,,Akshay Robert,A complete characterisation of the transiting debris disk at WD1054–226
14:15,,,Aaron Householder,Bigger than the Whole Star: Transiting Planets around White Dwarfs from ZTF
14:30,,,Laura Rogers,A Panoramic View of Rapid Dust Production by Disintegrating Asteroids around a White Dwarf
14:45,,,Sergio Humberto Ramirez Ramirez,WD Planetary Systems Through the Looking Gas
15:00,,,Felipe Lagos-Vilches,Observational Constraints on the Incidence of Substellar Companions to Young Massive White Dwarfs with VLT/ERIS
15:15,,,Sabrina Poulsen,A Probable Planet Detected via IR excess around WD 0644+025
15:30-16:00,coffee break (30 min),,,
16:00,S4.4,"S4.4
WD Debris

Chair: Paula Izquierdo",Hiba tu Noor,Tracking Accretion Rate Changes at Polluted White Dwarfs
16:15,,,Wenjun Chen,3D Convection Corrections in Metal-Polluted White Dwarfs
16:30,,,Érika Le Bourdais,"Same Stars, Different Model: A Cross-Model Comparison of Polluted White Dwarf Atmosphere Characterization"
16:45,,,Stefano Bagnulo,Magnetically guided accretion and extremely slow rotation in a metal-enriched white dwarf
17:00,,,Dang Pham,The Effects of Magnetic Accretion on the Spatial Extent of White Dwarf Pollution
17:15,bus departure,,,
,social activity,,,
Friday 07 Aug 2026,,,,
Time,Session,Topics,Author,Title
08:30,bus departure in Vienna,,,
09:15,coffee,,,
09:30,S5.1,"S5.1
Hypervelocity Supernova Survivors + ELMs

Chair: Warren Brown",Kareem El-Badry,Hypervelocity white dwarfs as messengers from thermonuclear supernovae
09:45,,,Aakash Bhat,A New High-Velocity LP 40-365 Type Star And The Fault In Our Type Iax Supernova Deflagration Models
10:00,,,Mark Hollands,Spectral analyses of double-detonation supernova survivors
10:15,,,Ruediger Pakmor,Connecting hypervelocity stars with exploding white dwarfs via numerical simulations
10:30,,,Gabriela da Rosa,Investigating the origin of the lowest-mass white dwarf stars
10:45-11:30,coffee break (45 min),,,
11:30,S5.2,"S5.2
WD Supernova Connections

Chair: Ken Shen",Giovanni Stimamiglio,3D MHD Simulations of Double ONe White Dwarf Mergers
11:45,,,Na'ama Hallakoun,IK Pegasi and the Double-merger Path to Type Ia Supernovae
12:00,,,Stephania Hernandez,Building Double-Detonation Supernovae: The Evolutionary Pathway of WD+sdB Binaries
12:15,,,Dan Maoz,The Galaxy's double white dwarf merger rate: four measurements
12:30,concluding remarks,,,
17:15,bus departure,,,
