source_id,source_pool,nss_solution_type,period_d,eccentricity,significance,ruwe,parallax,phot_g_mean_mag,bp_rp,distance_pc,M_2_mjup_face_on,M_2_mjup_marginalized,M_2_2sigma_hi,HIP,Name,Vmag,SpType,snrPMaH2G2,M_host_msun_used,sahl_confirmed,tier_a,in_stefansson,documented_fp,ruwe_pass,nasa_exo_match,hgca_chisq,hgca_tier,v2_verdict,v2_score,sahl_verdict,v3_verdict,v4_verdict,hb_M2_msun,hb_method,hb_stellar_match,v5_verdict,hb_flux_ratio,trif_rv_scatter_mps,v6_verdict,hb_flux_ratio_v7,v7_verdict,ra,dec,pmra,pmdec,exoeu_match_v8,exoeu_match_name,exoeu_match_sep_arcsec,v8_verdict,v9_verdict,simbad_otype,wds_id,msc_id,visual_double_id,v9b_verdict,v10_verdict
735988967392303232,acceleration_pool,Acceleration7,,,45.691307,,18.292735119524796,,,54.666510692140704,,193.65006018834055,983.9014084836084,,,,,,,,,,false,true,false,,,SURVIVOR_no_hgca_corroboration,5.3691307,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,false,SURVIVOR_no_hgca_corroboration,,,SURVIVOR_no_hgca_corroboration,,SURVIVOR_no_hgca_corroboration,160.73805857619539,31.151751102695346,132.10263218271373,-55.70923659984259,false,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration
4182420637248142848,orbital_pool,Orbital,582.2811276972798,0.24707966872495804,8.912365,1.8991989,3.816342666026213,13.201538,1.5267868,262.0309776955263,76.26681763039959,86.40451934004635,161.48274736901436,,,,,,0.8261887444953444,0,1,false,false,true,false,,,SURVIVOR_no_hgca_corroboration,1.6912365,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,false,SURVIVOR_no_hgca_corroboration,,,SURVIVOR_no_hgca_corroboration,,SURVIVOR_no_hgca_corroboration,297.2110950343858,-14.221925772190142,14.358405496261966,-11.499410652715335,false,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration
5437135718626568192,acceleration_pool,Acceleration7,,,43.70709,,7.4511001649178805,,,134.2083689477581,,317.3647139135827,1634.8305330066814,,,,,,,,,,false,true,false,,,SURVIVOR_no_hgca_corroboration,5.1707089999999996,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,false,SURVIVOR_no_hgca_corroboration,,,SURVIVOR_no_hgca_corroboration,,SURVIVOR_no_hgca_corroboration,142.5759713389571,-36.018077434971886,-56.05760973138321,-98.90691967239047,false,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration
346899015236171008,orbital_pool,Orbital,1067.9672527298849,0.3625267631979685,9.734322,8.099149,4.771731075682456,9.321544,0.8035126,209.56755193019325,613.5441145153864,618.7284555370743,848.7850237168861,,,,,,1.2715086388106223,0,0,false,false,false,false,,,REJECTED_ruwe_quality,-10.0,,REJECTED_ruwe_quality,REJECTED_ruwe_quality,,,false,REJECTED_ruwe_quality,,,REJECTED_ruwe_quality,,REJECTED_ruwe_quality,25.500190352861846,39.943738514763,-1.2111128447606747,-27.89023133029469,false,,,REJECTED_ruwe_quality,REJECTED_ruwe_quality,,,,,REJECTED_ruwe_quality,REJECTED_ruwe_quality
1133469498940493056,acceleration_pool,Acceleration7,,,64.26709,,9.009115066880595,,,110.9986932763475,,302.6487571350686,1550.8585911043422,,,,,,,,,,false,true,false,,,SURVIVOR_no_hgca_corroboration,5.8,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,false,SURVIVOR_no_hgca_corroboration,,,SURVIVOR_no_hgca_corroboration,,SURVIVOR_no_hgca_corroboration,176.7395219443278,81.36607491637126,-122.55173194402089,20.370545854212118,false,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration
2511786832791423872,acceleration_pool,Acceleration9,,,20.912569,,10.81588052251041,,,92.45664261164526,,63.244179230443834,316.50833836953586,,,,,,,,,,false,true,false,,,SURVIVOR_no_hgca_corroboration,3.8912569,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,false,SURVIVOR_no_hgca_corroboration,,,SURVIVOR_no_hgca_corroboration,,SURVIVOR_no_hgca_corroboration,30.077040735889657,2.9090208927725043,-25.10557423235565,-38.849213882235475,false,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration
2974908380317766656,orbital_pool,Orbital,445.3752325839699,0.34070834378795317,15.831333,1.7627652,4.0546850380802795,13.847291,1.5829659,246.62828076862348,77.63663845166889,86.77313969256687,108.14044034858095,,,,,,0.7213625453497745,0,1,false,false,true,false,,,SURVIVOR_no_hgca_corroboration,2.3831333,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,false,SURVIVOR_no_hgca_corroboration,,,SURVIVOR_no_hgca_corroboration,,SURVIVOR_no_hgca_corroboration,76.60577791754771,-20.17104729924936,-1.266454869520711,-39.10903935071476,false,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration
5313272297799835648,orbital_pool,Orbital,650.9476115072813,0.5534461335050506,6.9646597,1.4081666,7.837136839790513,16.03876,3.386383,127.59761893180496,38.94814960246457,44.06079586968775,61.95662955773124,,,,,,0.36819696874944413,0,1,false,false,true,false,,,SURVIVOR_no_hgca_corroboration,2.49646597,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,false,SURVIVOR_no_hgca_corroboration,,,SURVIVOR_no_hgca_corroboration,,SURVIVOR_no_hgca_corroboration,141.31028903887233,-51.78022143961933,-19.23972402574159,9.81338063855215,false,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration
1534145898472332672,acceleration_pool,Acceleration7,,,37.22743,,5.909716947094205,,,169.21284199435266,,209.34129952450644,1014.0849421751741,,,,,,,,,,false,true,false,,,SURVIVOR_no_hgca_corroboration,4.522743,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,false,SURVIVOR_no_hgca_corroboration,,,SURVIVOR_no_hgca_corroboration,,SURVIVOR_no_hgca_corroboration,189.8311761845926,41.12893458236962,-48.932586169306404,6.28805298238019,false,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration
6715655256810104576,acceleration_pool,Acceleration7,,,20.434496,,5.7262276167007515,,,174.63504193990883,,169.3729485924344,841.2315943567215,,,,,,,,,,false,true,false,,,SURVIVOR_no_hgca_corroboration,2.8434495999999996,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,false,SURVIVOR_no_hgca_corroboration,,,SURVIVOR_no_hgca_corroboration,,SURVIVOR_no_hgca_corroboration,285.9494018477754,-41.789139228490136,9.057257089238842,-61.21388141978902,false,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration,,,,,SURVIVOR_no_hgca_corroboration,SURVIVOR_no_hgca_corroboration
