desig,lane,single,H,a,vidx,lastobs_year,epoch,jd,V,SMAA_3sigma_as,SMIA_3sigma_as,epoch_pass,redflag
2001 KK76,distant,False,6.3,42.31,22.56,2004,2005-07-01,2453552.5,22.618,1.72,1.14,1,
2001 KK76,distant,False,6.3,42.31,22.56,2004,2013-01-01,2456293.5,22.673,43.21,4.26,1,
2001 KK76,distant,False,6.3,42.31,22.56,2004,2017-07-01,2457935.5,22.545,93.0,6.43,1,
2001 KK76,distant,False,6.3,42.31,22.56,2004,2021-01-01,2459215.5,22.627,140.93,7.57,1,
2001 KJ76,distant,False,6.52,43.48,22.9,2005,2005-07-01,2453552.5,22.877,1.51,1.16,1,
2001 KJ76,distant,False,6.52,43.48,22.9,2005,2013-01-01,2456293.5,22.889,25.67,4.39,1,
2001 KJ76,distant,False,6.52,43.48,22.9,2005,2017-07-01,2457935.5,22.745,55.02,6.67,1,
2001 KJ76,distant,False,6.52,43.48,22.9,2005,2021-01-01,2459215.5,22.81,84.82,7.88,1,
2001 KP76,distant,False,6.33,43.36,22.7,2007,2005-07-01,2453552.5,22.787,1.85,0.79,1,
2001 KP76,distant,False,6.33,43.36,22.7,2007,2013-01-01,2456293.5,22.715,13.91,3.22,1,
2001 KP76,distant,False,6.33,43.36,22.7,2007,2017-07-01,2457935.5,22.517,33.4,5.07,1,
2001 KP76,distant,False,6.33,43.36,22.7,2007,2021-01-01,2459215.5,22.538,55.76,6.12,1,
2001 QT322,distant,False,6.09,37.17,21.79,2008,2005-07-01,2453552.5,21.955,1.47,0.52,1,
2001 QT322,distant,False,6.09,37.17,21.79,2008,2013-01-01,2456293.5,21.984,4.37,1.25,1,
2001 QT322,distant,False,6.09,37.17,21.79,2008,2017-07-01,2457935.5,22.003,14.07,1.99,1,
2001 QT322,distant,False,6.09,37.17,21.79,2008,2021-01-01,2459215.5,21.988,20.31,2.58,1,
2001 KN76,distant,False,6.38,43.54,22.77,2008,2005-07-01,2453552.5,22.594,1.28,0.53,1,
2001 KN76,distant,False,6.38,43.54,22.77,2008,2013-01-01,2456293.5,22.604,8.33,1.95,1,
2001 KN76,distant,False,6.38,43.54,22.77,2008,2017-07-01,2457935.5,22.51,18.63,3.01,1,
2001 KN76,distant,False,6.38,43.54,22.77,2008,2021-01-01,2459215.5,22.571,31.44,3.62,1,
2001 KL76,distant,False,6.6,44.32,23.07,2008,2005-07-01,2453552.5,23.512,3.48,1.0,0,
2001 KL76,distant,False,6.6,44.32,23.07,2008,2013-01-01,2456293.5,23.539,14.24,3.21,0,
2001 KL76,distant,False,6.6,44.32,23.07,2008,2017-07-01,2457935.5,23.422,33.35,4.83,0,
2001 KL76,distant,False,6.6,44.32,23.07,2008,2021-01-01,2459215.5,23.479,59.38,5.75,0,
2004 KD19,distant,False,7.4,38.12,23.21,2008,2005-07-01,2453552.5,23.415,1.56,0.51,0,
2004 KD19,distant,False,7.4,38.12,23.21,2008,2013-01-01,2456293.5,23.478,15.17,3.88,0,
2004 KD19,distant,False,7.4,38.12,23.21,2008,2017-07-01,2457935.5,23.37,38.25,6.29,0,
2004 KD19,distant,False,7.4,38.12,23.21,2008,2021-01-01,2459215.5,23.455,66.33,7.62,0,
2005 JY185,distant,False,6.8,43.91,23.23,2008,2005-07-01,2453552.5,23.382,10.22,0.6,0,
2005 JY185,distant,False,6.8,43.91,23.23,2008,2013-01-01,2456293.5,23.487,46.46,2.21,0,
2005 JY185,distant,False,6.8,43.91,23.23,2008,2017-07-01,2457935.5,23.411,140.34,3.84,0,
2005 JY185,distant,False,6.8,43.91,23.23,2008,2021-01-01,2459215.5,23.508,234.82,4.81,0,
2001 KQ77,distant,False,7.1,39.34,23.05,2009,2005-07-01,2453552.5,22.768,0.61,0.47,1,
2001 KQ77,distant,False,7.1,39.34,23.05,2009,2013-01-01,2456293.5,22.718,7.07,2.08,1,
2001 KQ77,distant,False,7.1,39.34,23.05,2009,2017-07-01,2457935.5,22.509,16.86,3.34,1,
2001 KQ77,distant,False,7.1,39.34,23.05,2009,2021-01-01,2459215.5,22.573,26.72,4.0,1,
