num,name,desc,galex_fuv,synth_fuv,deficit,executed,_q,WDJname,GaiaEDR3,Pwd,TeffH,loggH,MassH,TeffHe,MassHe,Gmag,Plx
167,WDJ030350.56+060748.75,"STAR, DA",17.51,14.52,2.990000000000002,True,34.0,WDJ030350.56+060748.75,6963383233077632,0.996008,16017.65,8.759393,1.082252,14276.1,1.013647,14.9644,31.9335
191,WDJ111658.44-163754.10,"STAR, DA",16.71,14.65,2.0600000000000005,False,,,,,,,,,,,
160,WDJ080016.15+004045.91,"STAR, DA",16.28,14.46,1.8200000000000003,True,40.0,WDJ080016.15+004045.91,3084314288408404224,0.986659,24391.99,8.384186,0.864844,22430.17,0.820023,15.9178,10.6462
155,WDJ084041.95+553958.80,"STAR, DA",15.73,14.02,1.7100000000000009,True,,,,,,,,,,,
225,WDJ073504.07-794410.69,"STAR, DA",15.95,14.8,1.1499999999999986,True,108.0,WDJ073504.07-794410.69,5208047381438507520,0.999502,28583.15,8.891634,1.15757,35562.0,1.195185,16.5643,10.376
139,WDJ215225.38+022319.58,"STAR, DA",12.97,12.17,0.8000000000000007,True,49.0,WDJ215225.38+022319.58,2693940725141960192,0.99981,17507.27,7.979824,0.606706,17739.19,0.646971,12.7767,44.3255
224,WDJ203645.86-251440.75,"STAR, DA",15.6,14.8,0.7999999999999989,True,109.0,WDJ203645.86-251440.75,6800380775284148864,0.999805,15558.83,7.916136,0.566819,15329.6,0.561228,15.0734,16.384
140,WDJ014128.80+833458.83,"STAR, DA",13.0,12.29,0.7100000000000009,True,30.0,WDJ014128.80+833458.83,572487740053132288,0.99976,19003.01,8.044448,0.646996,19654.33,0.708139,13.1233,36.8957
246,WDJ212418.93+855645.12,"STAR, DA",15.57,14.9,0.6699999999999999,True,64.0,WDJ212418.93+855645.12,2303857158072454912,0.999829,17306.04,7.95264,0.591023,17385.29,0.621452,15.5009,12.6958
143,WDJ022827.20-324233.80,"STAR, DA",13.25,12.64,0.6099999999999994,True,28.0,WDJ022827.20-324233.80,5063539946887524864,0.999604,22287.74,7.994095,0.625551,25960.42,0.684325,13.8512,22.2472
146,WDJ005340.54+360118.17,"STAR, DA",13.35,12.74,0.6099999999999994,True,26.0,WDJ005340.54+360118.17,363925536907389440,0.999027,27281.08,7.928479,0.601828,33425.51,0.696734,14.382,13.8298
142,WDJ164718.39+322832.87,"STAR, DA",13.06,12.48,0.5800000000000001,False,,,,,,,,,,,
137,WDJ023016.63+051550.70,"STAR, DA",12.53,12.02,0.5099999999999998,True,73.0,WDJ023016.63+051550.70,2516322146457318144,0.999734,18963.25,7.871227,0.551303,19783.0,0.609889,12.8205,37.711
23,WDJ050940.99+015308.63,"STAR, DA",14.55,14.05,0.5,True,111.0,WDJ050940.99+015308.63,3234818257515161856,0.999649,20307.19,8.164513,0.721308,21212.13,0.786036,15.0628,15.6013
138,WDJ201056.85-301306.63,"STAR, DA",12.58,12.09,0.4900000000000002,True,,,,,,,,,,,
151,WDJ041051.67+592503.39,"STAR, DA",13.43,12.99,0.4399999999999995,True,46.0,WDJ041051.67+592503.39,470502504662843648,0.998942,28862.21,7.845642,0.56403,35744.25,0.656038,14.7246,10.5217
3,WDJ194925.91-440512.18,"STAR, DA",13.63,13.2,0.4300000000000015,False,,,,,,,,,,,
141,WDJ012923.99+510846.97,"STAR, DA",12.72,12.33,0.39000000000000057,True,29.0,WDJ012923.99+510846.97,406775841506041344,0.999653,22089.9,7.995154,0.625688,25543.02,0.684972,13.5352,26.0649
19,WDJ085047.51+172602.06,"STAR, DA",14.21,13.83,0.3800000000000008,True,86.0,WDJ085047.51+172602.06,659815519079378048,0.999694,19191.33,8.128762,0.697479,19847.78,0.760541,14.6985,18.8824
25,WDJ120347.43-002310.94,"STAR, DA",14.51,14.21,0.29999999999999893,True,84.0,WDJ120347.43-002310.94,3698872156539379968,0.999435,19856.52,8.317361,0.816208,20574.48,0.879952,15.1749,16.8534
165,WDJ010419.33+381655.23,"STAR, DA",14.81,14.52,0.2900000000000009,True,36.0,WDJ010419.33+381655.23,370582117741262080,0.999798,16568.17,7.995172,0.613356,16478.39,0.629336,14.9912,17.0919
