sdss_id,gaia_dr3_source_id,ra,dec,g_mag,bp_mag,rp_mag,plx,classification,p_da,teff,logg,snr,bp_rp,FUVmag,e_FUVmag,NUVmag,e_NUVmag,fuv_nuv,M_G,locus,locus_sd,resid,sig
67968900,2158718874424797440,270.6015,60.54474,18.66302,18.59306,18.70381,3.534221,DB:,0.0233083,-9999.0,-9999.0,11.74513,-0.1107499999999994,19.2337,0.0997,17.8864,0.0355,1.3473000000000006,11.404488515440004,-0.10844999999999949,0.1407728699999998,1.45575,8.26579284593154
93307679,4883191104733786496,60.90041,-33.17599,17.89544,17.83002,18.04163,7.540118,DC:,0.2533288,-9999.0,-9999.0,20.42113,-0.2116100000000003,18.7701,0.0894,17.584,0.0335,1.1860999999999997,12.282330712338172,-0.2311999999999994,0.13321161000000292,1.4172999999999991,8.647871812801991
55902460,599615711270729984,127.6241,8.837166,18.0476,17.99296,18.21173,4.055757,DA,1.0,19332.68,7.935924,26.94991,-0.2187699999999992,17.3979,0.0368,16.2141,0.0154,1.1838000000000015,11.087959632118814,-0.2311999999999994,0.13321161000000292,1.415000000000001,10.175713929815938
112068931,6666718433797325312,300.1225,-50.9831,18.4319,18.31443,18.63647,5.407555,CV/DC,0.04486243,-9999.0,-9999.0,15.42221,-0.3220399999999976,18.7842,0.0691,17.7511,0.0301,1.0330999999999975,12.0969047266167,-0.38175000000000026,0.09874116000000163,1.4148499999999977,11.389862369780472
93030849,4837075284962570112,64.64443,-46.31356,17.63208,17.59876,17.70979,6.484474,DBA/DB,0.02974677,-9999.0,-9999.0,26.34905,-0.111030000000003,18.9544,0.1303,17.8315,0.044,1.1229000000000013,11.691453766277554,-0.10844999999999949,0.1407728699999998,1.2313500000000008,6.256791023633479
56206138,651932025005986688,125.5672,13.63958,18.3133,18.2861,18.44865,4.105172,DBA,0.06428549,-9999.0,-9999.0,12.60995,-0.1625499999999995,19.4404,0.109,18.3653,0.0383,1.075099999999999,11.379956790329661,-0.14999999999999858,0.15092868000000642,1.2250999999999976,6.445453029094924
56367604,671450448046315520,114.6774,18.58592,17.69756,17.65105,17.83097,5.825566,DBZ:,0.0003740246,-9999.0,-9999.0,65.39525,-0.1799199999999992,19.4789,0.1184,18.4204,0.0522,1.0584999999999987,11.52425063452903,-0.14999999999999858,0.15092868000000642,1.2084999999999972,6.078864141887175
67621593,2122149147750919168,273.8734,48.35599,18.46793,18.43939,18.55,4.09481,DB,0.00298683,-9999.0,-9999.0,17.63245,-0.1106100000000012,19.5982,0.142,18.5229,0.0645,1.0752999999999986,11.529098776067155,-0.10844999999999949,0.1407728699999998,1.183749999999998,5.634270243187385
70559958,2587543763765699968,25.68911,13.26281,17.83073,17.78654,17.92575,5.967096,DB:,0.01615695,-9999.0,-9999.0,26.59017,-0.139210000000002,18.8532,0.1065,17.8124,0.0401,1.0408000000000008,11.70954512464439,-0.10844999999999949,0.1407728699999998,1.1492500000000003,6.3488408818880675
114556500,6886319733684699392,311.4004,-15.79261,18.74804,18.74127,18.8551,3.669247,DBAZ:,0.1420114,-9999.0,-9999.0,10.16098,-0.1138300000000001,20.1227,0.1416,19.0937,0.0646,1.029,11.570924739110097,-0.10844999999999949,0.1407728699999998,1.1374499999999994,5.420072618128674
78673147,3599657789229876864,176.5797,-5.048224,18.47606,18.46038,18.57989,4.028194,DBAZ/DBZ,0.04378373,-9999.0,-9999.0,17.21504,-0.1195099999999982,19.6697,0.1142,18.6688,0.0378,1.000899999999998,11.501611891211054,-0.10844999999999949,0.1407728699999998,1.1093499999999974,5.99102039694695
112153730,6675203227590401408,309.434,-45.30982,17.49234,17.47105,17.5863,6.410932,DB,0.000356792,-9999.0,-9999.0,37.3067,-0.1152499999999996,18.5156,0.0684,17.5812,0.0302,0.9344000000000001,11.526945851988936,-0.10844999999999949,0.1407728699999998,1.0428499999999996,6.542444026747942
