gaia_dr3,simbad_name,simbad_sptype,G,dist_pc,snowwhite_class,mwdd_sptype,desi_amorim2026,desi_swan2026,vizier_tables,vizier_magnetic_hits,paper_source_matches,visits,verdict,note
4198738558061020928,GALEX J190543.6-114356,DA,17.86,104,DA/DAH,DA,-,-,60,0,,MJD 60086 v -285 S/N 12 B 10.44/4.87; MJD 60087 v -303 S/N 12 B 10.64/10.68,MAGNETIC_NO_LABEL,triplets in both lines (visit MJD 60087: B 10.64/10.68 MG)
5807585134758743040,Gaia DR3 5807585134758743040,DA:,17.69,123,DA,DA:,-,-,52,0,,MJD 60091 v +520 S/N 15 B 8.77/8.84,MAGNETIC_NO_LABEL,single visit S/N 15: B 8.77/8.84 MG
50526755482496000,Cl* Melotte   25  REIDA     503,DA:,18.33,116,DAH,DA:,-,-,53,0,,MJD 60581 v +327 S/N 6; MJD 60585 v -394 S/N 9 B 10.02/10.09; MJD 60586 v -333 S/N 8,MAGNETIC_NO_LABEL,Hyades-field WD (REIDA 503); visit MJD 60585: B 10.02/10.09 MG
2833867392391927936,GALEX J224743.1+202608,DA:,17.69,149,DAH/DA,DA:,-,-,55,0,,MJD 60582 v +271 S/N 12 B 10.34/10.45; MJD 60583 v -355 S/N 8,MAGNETIC_NO_LABEL,visit MJD 60582: B 10.34/10.45 MG
4241409569220727424,GALEX J195006.0+015739,DA,18.23,99,DA/DAH,DA,-,-,54,0,,MJD 59821 v -463 S/N 3; MJD 59840 v -192 S/N 10 B 9.74/9.68,MAGNETIC_NO_LABEL,visit MJD 59840 S/N 10: B 9.74/9.68 MG
604881311110788864,GALEX J085704.7+122227,DA,18.37,272,DA,DA,DA,WD+MS,75,0,,MJD 60382 v +97 S/N 6; MJD 60399 v +5365 S/N 12 B 4.95/9.38,ARTEFACT_XCSAO_SHIFT,visit MJD 60399 xcsao_v_rad +5365 km/s; SDSS 2006 and BOSS 2012 spectra normal DA
894999926685547520,GALEX J074839.1+362755,DA,18.87,222,DAH/DA,DA,-,-,72,0,,MJD 60675 v +4212 S/N 11 B 3.20/12.99,ARTEFACT_XCSAO_SHIFT,single visit xcsao_v_rad +4212 km/s; SDSS 2001 and eBOSS 2017 spectra normal DA
600396471902522624,SDSS J081823.57+091420.9,DA,18.11,255,DA/DAH,DA,DA,DA,54,0,,MJD 60323 v +8176 S/N 9 B 3.12/1.81; MJD 60324 v -295 S/N 8 B 7.66/1.38,ARTEFACT_XCSAO_SHIFT,visit MJD 60323 xcsao_v_rad +8176 km/s
3116503861402179328,Gaia DR3 3116503861402179328,DA,18.02,154,DAH/DAO,DA,-,-,49,0,,MJD 59296 v -236 S/N 11 B 11.15/5.27; MJD 59300 v +596 S/N 9 B 11.15/5.04; MJD 59302 v -565 S/N 11 B 10.96/5.30,UNCERTAIN,B(Ha) ~11.1 vs B(Hb) ~5.2 MG in 3 visits: not a simple triplet
4767225652008399104,GALEX J055635.3-561006,DA,15.44,76,DA,DA:,-,-,77,0,,MJD 60331 v -689 S/N 29 B 10.25/5.41; MJD 60360 v -697 S/N 44 B 6.87/5.78; MJD 60390 v -171 S/N 44 B 6.59/5.79; MJD 60391 v -725 S/N 51 B 7.17/6.05; MJD 60398 v -617 S/N 20 B 3.26/7.11; MJD 60399 v -500 S/N 20 B 6.99/7.06; MJD 60400 v -597 S/N 22 B 10.82/5.39,UNCERTAIN,"hot WD, weak lines; per-visit fields inconsistent 3-11 MG"
5004981258963810176,GALEX J002412.6-354825,DA,18.83,303,DAH/DA,DA,-,-,51,0,,MJD 60611 v +98 S/N 9 B 11.94/5.15,UNCERTAIN,"single visit S/N 9, B 11.9/5.2"
6509200198978273152,GALEX J220111.1-542042,DA:,18.72,276,DA/DAH,DA:,-,-,46,0,,MJD 60532 v -242 S/N 6; MJD 60533 v -298 S/N 7,UNCERTAIN,S/N 6-7
4236474381214232704,Gaia DR3 4236474381214232704,DA:,18.0,170,DAH/DA,DA:,-,-,46,0,,MJD 59734 v +393 S/N 11 B 5.28/4.16,UNCERTAIN,"single visit S/N 11, B 5.3/4.2"
